product_id,order_date,courier_delivery,city,district,type_of_delivery, estimated_delivery_time_days,product_rating,,,,
194,12/12/22,Jne,Palembang,Bukit Kecil,Reguler,4,2,,,,
268,13/04/23,Sicepat,Yogyakarta,Terban,Same Day,5,5,,,,
175,01/01/23,Jne,Surabaya,Sambikerep,Same Day,5,3,,,Removed,format_changed
257,15/05/23,Pos Indonesia,Bekasi,Medan Satria,Express,0,1,,,order_id,order_date -> yyyy to 00yy 
269,30/07/22,Jne,Bandung,Cibeunying Kaler,Express,3,4,,,ontime," estimated_delivery_time_days -> letters, words and missing values removed"
191,03/07/22,Jne,Yogyakarta,Gondomanan,Next Day,4,5,,,,courier_delivery -> proper
112,12/01/23,Jne,Surabaya,Wiyung,Next Day,5,3,,,,city -> proper
257,04/12/22,Jne,Makassar,Manggala,Same Day,0,1,,,,district -> proper
228,01/05/23,Sicepat,Depok,Cinere,Next Day,1,2,,,,
198,02/11/22,Ninja Xpress,Pekanbaru,Payung Sekaki,Next Day,5,3,,,,
238,24/02/23,Ninja Xpress,Palembang,Sukarami,Next Day,0,1,,,,
235,13/08/22,Jne,Malang,Turen,Reguler,0,1,,,,
203,07/08/22,Sicepat,Yogyakarta,Gondomanan,Same Day,1,2,,,,
202,18/11/22,Pos Indonesia,Makassar,Tamalanrea,Reguler,5,3,,,,
118,14/07/22,J&T Express,Bandung,Mandalajati,Express,3,2,,,,
168,07/12/22,Jne,Depok,Bojongsari,Express,0,1,,,,
283,30/03/23,Ninja Xpress,Semarang,Tugu Mulyo,Next Day,2,2,,,,
180,05/03/23,Jne,Pontianak,Pontianak Selatan,Reguler,3,4,,,,
193,03/02/23,Pos Indonesia,Batam,Sekupang,Same Day,5,3,,,,
244,16/08/22,J&T Express,Depok,Tapos,Same Day,5,3,,,,
298,24/10/22,Pos Indonesia,Jakarta,Senen,Next Day,3,5,,,,
250,05/08/22,J&T Express,Depok,Limo,Reguler,5,3,,,,
151,07/08/22,Ninja Xpress,Makassar,Makassar Selatan,Express,3,5,,,,
251,10/04/23,Pos Indonesia,Pekanbaru,Sukajadi,Express,0,1,,,,
142,15/11/22,Pos Indonesia,Jakarta,Setiabudi,Express,2,2,,,,
298,11/02/23,J&T Express,Denpasar,Kedonganan,Same Day,0,1,,,,
214,06/03/23,Sicepat,Padang,Padang Barat,Reguler,5,3,,,,
127,12/06/22,Sicepat,Pekanbaru,Pekanbaru Kota,Express,4,5,,,,
211,09/12/22,Pos Indonesia,Medan,Medan Baru,Next Day,1,4,,,,
234,04/02/23,J&T Express,Bogor,Bogor Timur,Same Day,4,4,,,,
