order_id,product_id,order_date,courier_delivery,city,district,type_of_delivery,estimated_delivery_time_days,product_rating,ontime
738527,194,2022/12/12,JNE,Palembang,Bukit Kecil,Reguler,4 days,2,Ontime
149822,268,13/04/23,SiCepat,Yogyakarta,Terban,Same Day,5,5,Ontime
635991,175,2023/01/01,JNE,Surabaya,Sambikerep,Same Day,five,3,Ontime
221362,257,15/05/23,POS Indonesia,Bekasi,Medan Satria,Express,,1,Ontime
687298,269,30/07/22,JNE,Bandung,Cibeunying Kaler,Express,3,4,Ontime
599035,191,2022/03/07,JNE,Yogyakarta,Gondomanan,Next Day,4,5,Ontime
818755,112,2023/12/01,JNE,Surabaya,Wiyung,Next Day,five,3,Ontime
564488,257,2022/04/12,JNE,Makassar,Manggala,Same Day,,1,Ontime
633998,228,2023/01/05,SiCepat,Depok,Cinere,Next Day,1 days,2,Ontime
578132,198,2022/02/11,Ninja Xpress,Pekanbaru,Payung Sekaki,Next Day,five,3,Ontime
693909,238,24/02/23,Ninja Xpress,Palembang,Sukarami,Next Day,,1,Ontime
793402,235,13/08/22,JNE,Malang,Turen,Reguler,,1,Ontime
16552,203,2022/07/08,SiCepat,Yogyakarta,Gondomanan,Same Day,1 days,2,Ontime
975553,202,18/11/22,POS Indonesia,Makassar,Tamalanrea,Reguler,five,3,Ontime
233495,118,14/07/22,J&T Express,Bandung,Mandalajati,Express,3 days,2,Ontime
702742,168,2022/07/12,JNE,Depok,Bojongsari,Express,,1,Ontime
136396,283,30/03/23,Ninja Xpress,Semarang,Tugu Mulyo,Next Day,2 days,2,Ontime
453070,180,2023/05/03,JNE,Pontianak,Pontianak Selatan,Reguler,3,4,Ontime
683754,193,2023/03/02,POS Indonesia,Batam,Sekupang,Same Day,five,3,Ontime
951414,244,16/08/22,J&T Express,Depok,Tapos,Same Day,five,3,Ontime
457807,298,24/10/22,POS Indonesia,Jakarta,Senen,Next Day,3,5,Ontime
991366,250,2022/05/08,J&T Express,Depok,Limo,Reguler,five,3,Ontime
610300,151,2022/07/08,Ninja Xpress,Makassar,Makassar Selatan,Express,3,5,Ontime
167442,251,2023/10/04,POS Indonesia,Pekanbaru,Sukajadi,Express,,1,Ontime
512915,142,15/11/22,POS Indonesia,Jakarta,Setiabudi,Express,2 days,2,Ontime
540554,298,2023/11/02,J&T Express,Denpasar,Kedonganan,Same Day,,1,Ontime
152422,214,2023/06/03,SiCepat,Padang,Padang Barat,Reguler,five,3,Ontime
914766,127,2022/12/06,SiCepat,Pekanbaru,Pekanbaru Kota,Express,4,5,Ontime
504204,211,2022/09/12,POS Indonesia,Medan,Medan Baru,Next Day,1,4,Ontime
798230,234,2023/04/02,J&T Express,Bogor,Bogor Timur,Same Day,4,4,Ontime
587078,161,20/12/22,Ninja Xpress,Yogyakarta,Kotagede,Express,,1,Ontime
967461,111,2022/04/11,Ninja Xpress,Bekasi,Medan Satria,Next Day,,1,Ontime
